region,03-26,03-27,03-28,03-29,03-30,03-31,04-01,04-02,04-03,04-04,04-05,04-06,04-07,04-08,04-09,04-10,04-11,04-12,04-13,04-14,04-15,04-16,04-17,04-18,04-19,04-20,04-21,04-22,04-23,04-24,04-25,04-26,04-27,04-28,04-29,04-30,05-01,05-02,05-03,05-04,05-05,05-06,05-07
黄浦区,160,216,499,609,970,1091,1351,2010,2834,3804,4462,5506,6886,9493,10041,11802,14006,15810,16037,18050,19434,20999,22895,26218,29302,32399,34151,36994,38953,40708,43379,44607,46059,48715,50114,51270,52382,53356,54295,55070,55842,56469,57081
徐汇区,331,608,699,1799,2203,2429,3068,4110,4609,5838,6758,7865,9941,11570,12720,15923,17664,18772,18915,20257,21946,23478,25031,25603,27211,28658,30024,31299,33021,34417,35758,36662,37214,38794,39396,39884,40326,40743,41106,41436,41759,42089,42388
长宁区,29,74,189,219,347,603,640,740,844,877,961,1311,2163,2777,3534,3921,4314,5447,5552,6550,7302,8008,8747,9427,10045,10771,11267,11980,12707,13456,13990,14409,14617,15264,15641,15822,16065,16216,16318,16439,16526,16597,16662
静安区,108,178,282,457,559,723,912,1236,1574,1624,1926,2471,2852,3517,4119,4722,5274,6330,6379,6645,7078,8212,9054,10064,11797,12927,14991,15777,16248,17950,18966,20360,21449,22813,24080,25076,25778,26394,26959,27504,28019,28503,29051
普陀区,69,139,220,333,479,494,739,1127,1448,1702,2185,3218,4175,5269,5922,6923,8781,9951,9996,10260,10686,12017,13242,13613,14141,14696,15185,15708,16186,16663,17081,17446,17747,17982,18123,18237,18332,18411,18473,18564,18643,18720,18776
虹口区,50,77,85,158,242,370,431,773,961,1569,1979,2647,3241,3619,3968,5206,6581,7512,7633,8563,10060,11087,12253,13345,14098,14930,15815,16812,17631,18286,19556,20692,21783,23157,24172,24763,25432,25798,26156,26482,26749,27028,27300
杨浦区,23,58,105,204,304,478,612,886,1260,1480,2103,2733,3334,4035,5115,6992,8412,9571,9625,10442,11853,12713,13600,14081,14847,16852,17395,18751,20028,21263,22507,23613,24139,24947,25714,26056,26523,26911,27332,27725,28136,28561,29174
闵行区,972,1591,1961,2949,3729,4121,5164,5993,6933,8314,11251,13660,15917,18771,23395,26584,29591,33836,34208,36586,38623,41683,44085,45457,47059,48745,51308,52613,53490,54719,55436,56185,56506,56928,57444,57875,58261,58548,58800,59085,59320,59629,59856
宝山区,153,247,558,921,1425,1442,1487,1972,2439,2704,3258,3918,4332,7153,9414,11253,12235,12530,12543,12960,14283,15576,17026,18056,19013,19846,20824,22857,25743,28249,30035,32011,33126,34369,35566,36699,37682,38318,38938,39397,39897,40399,40744
嘉定区,242,493,702,957,1115,1169,1369,1986,2401,2638,3119,4527,5460,6965,7334,8739,8939,9925,9979,10782,11523,12208,13186,13774,14517,15158,15934,16434,17185,17786,18329,18763,19055,19543,19811,20070,20338,20617,20792,21007,21208,21409,21528
浦东新区,323,1752,4258,6441,8648,11055,13639,15677,19331,26402,34547,43004,52054,59340,70470,77202,85366,96415,97554,109210,119492,130283,138023,146854,152500,156965,161620,169581,177207,183388,187300,190045,193038,196510,198538,200163,201815,202977,203860,204749,205426,206010,206685
金山区,4,17,36,62,95,137,186,246,349,401,478,557,686,776,844,901,937,976,988,1016,1047,1068,1092,1099,1108,1133,1163,1189,1233,1301,1323,1351,1392,1420,1439,1450,1464,1471,1475,1478,1480,1488,1488
松江区,79,269,363,592,838,1022,1515,2082,2345,2904,3700,4481,5232,6003,6503,8328,9016,9728,9859,10620,11393,11803,12708,13470,13795,14475,14968,17536,18309,18857,19498,19785,20016,20418,20552,20657,20753,20821,20911,21003,21086,21113,21161
青浦区,22,65,122,209,286,381,468,699,931,1245,1629,2099,2592,2934,3491,4368,4690,5214,5313,5617,6153,6458,6827,7084,7473,7753,8138,8497,8921,9172,9551,9862,10070,10339,10495,10623,10738,10832,10875,10945,11001,11170,11204
奉贤区,84,129,244,340,470,653,814,971,1090,1154,1298,1576,1668,1765,1889,1927,1995,2028,2030,2065,2171,2222,2242,2256,2316,2348,2382,2390,2406,2413,2425,2438,2441,2447,2473,2477,2490,2500,2506,2507,2518,2539,2550
崇明区,27,263,330,385,578,622,706,819,984,1031,1110,1173,1435,1605,1776,1831,1888,1974,1981,2041,2133,2182,2234,2260,2340,2405,2525,2642,2850,2945,3419,3886,4085,4123,4392,4700,4776,4911,5010,5066,5116,5216,5267
